광교차량사업소	servingRailwayLine	신분당선
이르쿠트	country	러시아
한낮	occupation	기자_(직업)
세계여성대회	country	케냐
소바노카미_역	address	이시노마키_시
위례산	address	동남구
장지동	isPartOf	구미동
금메달	order	목
국제위원회	location	쾰른_대성당
고리치아_가문	isPartOf	고리치아
특별법	party	더불어민주당
블로우	genre	영화
국민연금	isPartOf	국민연금공단
태조산	address	천안시
경부고속도로	city	성남시
정지선	position	명예회장
구자욱	position	대상자
복정역	address	성남시
영업권	isPartOf	최순실
헝가리어	regionServed	도나우_강
알리바바와_사십_인의_도적	isPartOf	마윈
성수대교	address	성동구
응암역	address	경기도
금메달	title	하계_올림픽
노동요	isPartOf	달
코스타	title	코카콜라
태조산	address	성거읍
대통령_선거	position	대통령
타이	title	세팍타크로
한국_전쟁	region	청주시
좌완_투수	team	로스앤젤레스_다저스
홍은동	region	종로구
올림픽_공원	isPartOf	서울천동초등학교
성거산	address	성거읍
교량	city	부다페스트
임창용	city	대구광역시
뇌물죄	isPartOf	대한민국_관세청
영화	genre	블로우
고한승	position	이사_(법인)
경복궁	nationality	일본
성광대도	occupation	영화_감독
왕녀	position	신라
영업권	isPartOf	대한민국_관세청
검단동_(인천)	region	북구_(포항시)
분당선	servingRailwayLine	서울_지하철_8호선
동남아시아	isPartOf	세팍타크로
예술영화	location	서울특별시
아스테카_문명	isPartOf	달
전기철도	location	수원시
영업권	position	롯데_자이언츠
분당선	servingRailwayLine	신분당선
세미온센_역	address	일본
플래시포워드	occupation	배우
생도	country	영국
좌완_투수	position	자유계약선수제도
부지사	position	충청남도지사
천태종	country	일본
강남역	owningOrganisation	한국철도공사
소노기_역	address	나가사키_현
정자역	servingRailwayLine	분당선
노무현	position	총선거
경기도	isPartOf	수도권
성거읍	region	성거산
고딕	isPartOf	성_비토_대성당
박원순	position	오전
영어	region	동남아시아
김창호_(1962년)	country	네팔
헤레스데라프론테라	type	백포도
임	position	대한민국의_공정거래위원회_위원장
서유구	isPartOf	씹기
성균관대학교	address	장안구
세계_박람회	location	하이드_파크
서울교통공사	location	서울특별시
성덕댐로	isPartOf	명당리
서울종합운동장_야구장	type	특허
성광대도	isPartOf	홍콩
강간	occupation	시인
구미동	region	서울특별시
농협유통	isPartOf	장지동
스타	position	현대그룹
프로_야구	country	미국
김창호_(1962년)	deathPlace	히말라야_산맥
혜화역	address	성균관
전기_동력분산식_열차	servingRailwayLine	신분당선
재보궐선거	position	충청남도지사
주권	country	일본
캐나다	title	4대륙_피겨_스케이팅_선수권_대회
대한민국의_대법관	predecessor	이명박
김정남_(조선민주주의인민공화국)	position	조선민주주의인민공화국_국방위원회
위례산	address	천안시
수도권	isPartOf	경기도
세이브	position	봉중근
송파구	isPartOf	직원
동남아시아	title	세팍타크로
국문학사	isPartOf	윤선도
프로_야구	position	투수
이명박	position	대한민국의_대법관
세이하마_역	address	후쿠이_현
성결대학교	address	만안구
뇌물죄	isPartOf	러시아의_대통령
혜화동	region	서울특별시
일주_운동	occupation	목사
장안구	isPartOf	전기철도
후보	leader	이회창
총선거	leader	노무현
도쿄신문	country	일본
혜화역	address	서울특별시
멤버	league	프리미어리그
목동	region	서울특별시
피겨_스케이팅_그랑프리_파이널	isPartOf	김연아
거제동	region	부산광역시
수진동	region	수정구
세이칸_터널	address	가미이소_군
대중교통	city	성남시
수아레스	position	공격수
임수혁	position	사등관
길동	region	서울특별시
위례산	address	북면_(인제군)
러시아의_대통령	position	대한민국의_대법관
경기도	region	응암역
자유한국당	leader	이철우_(1955년)
이사_(법인)	isPartOf	고한승
성균관대역	address	수원시
소정면	region	천안시
특허	isPartOf	롯데_자이언츠
신분당선	servingRailwayLine	분당선
스타	position	장세동
혼슈	type	영토권
태조산	address	서북구
서울특별시	type	영업권
우르두어	region	하이데라바드_(인도)
한국인	populationPlace	히말라야_산맥
소노기_역	address	히가시소노기_군
총선거	leader	김영삼
컴퓨터	type	대한민국의_대법관
압구정동	region	성수대교
서울천동초등학교	address	올림픽_공원
사노_시	isPartOf	천태종
알렉사_인터넷	type	눈_(해부학)
청계산	isPartOf	과천시
성균관대학교	city	경기도
운당리	address	천안시
전기철도	isPartOf	성균관대학교
콜로세움	successor	프란치스코
세팍타크로	country	말레이시아
검단동_(인천)	region	대구광역시
성균관대역	address	장안구
후보	leader	우상호
원내대표	position	특별법
전기_동력분산식_열차	servingRailwayLine	분당선
하계_패럴림픽	city	토론토
세계_박람회	location	런던
소바노카미_역	country	일본
특허	isPartOf	박근혜
세계불교도대회	country	네팔
도촌동	region	경기도
로마	isPartOf	프란치스코
플로리다_반도	country	스페인
천안시	isPartOf	운당리
설탕	country	미국
수진동	region	성남시
후보	position	대통령_선거
태조산	address	북면_(인제군)
성수대교	address	성수동
대통령_선거	leader	서상목
금메달	title	1994년_동계_올림픽
소정면	region	아산시
세종오송로	region	충청북도
장지동	region	경기도
프로_야구	team	두산_베어스
후보자	party	국민의당
이철우_(1955년)	party	자유한국당
영돈녕부사	isPartOf	건릉
의원	party	자유한국당
포항시	region	경상북도
매전면	region	경상북도
성광대도	occupation	배우
떡	regionServed	경상북도
신영동_(서울)	isPartOf	홍은동
화원고등학교_(대구)	address	북구_(포항시)
명예회장	position	현대백화점그룹
영화_감독	isPartOf	성광대도
금메달	country	프랑스
노동요	genre	가곡
아산시	region	세종특별자치시
성균관대역	address	경기도
성수대교	address	강남구
뇌물죄	isPartOf	영업권
고관절	title	세계_피겨_스케이팅_선수권_대회
뇌물죄	position	롯데_자이언츠
충청남도	regionServed	세종특별자치시
스피드_스케이팅	isPartOf	이승훈_(1864년)
한국중부발전	isPartOf	세종천연가스발전소
정부	party	자유한국당
문화방송_수목_미니시리즈	occupation	배우
영토권	routeEnd	홋카이도
세이칸_터널	address	정_(행정_구역)
삼성동_(강남구)	region	경기도
한낮	country	미국
대통령_선거	party	신한국당
정자역	address	판교신도시
농협유통	isPartOf	송파구
성폭력	occupation	영화_감독
특허	isPartOf	서울특별시
멤버	position	손흥민
복정역	address	구미동
김정은	position	임
목동	region	양천구
응암리	isPartOf	경기도
생도	type	해군
경기도	isPartOf	전기철도
그리스도	deathPlace	이스라엘
세미온센_역	address	야마가타_현
임	party	조선로동당
광교차량사업소	servingRailwayLine	분당선
눈_(해부학)	type	알렉사_인터넷
대한민국의_대법관	position	러시아의_대통령
세이조	country	일본
포츠담_선언	type	영토권
이덕희_(테니스_선수)	education	숙명여자대학교
성남시	region	경기도
박영선	position	특별법
후보	party	더불어민주당
세이하마_역	country	일본
흥덕구	isPartOf	세종오송로
목동	region	신월동_(서울)
대통령_선거	occupation	변호사
세계꼭두극축제	country	프랑스
서대문구	isPartOf	신영동_(서울)
국제위원회	location	리투아니아
대통령_선거	leader	김영삼
오전	location	서울특별시
성거산	address	천안시
프로_야구	occupation	선수
망미역	address	부산광역시
농협유통	isPartOf	서울특별시
부발읍	region	경기도
후보	leader	노무현
스타	position	대한민국_법무부
대통령_선거	leader	이명박
주권	type	영토권
송파구	isPartOf	농협유통
세이칸_터널	address	아오모리_현
복정역	address	분당구
프란치스코	isPartOf	로마
시내버스	regionServed	대구광역시
수도권	isPartOf	장안구
장관	position	유엔_여성_차별_철폐_위원회
안락동	region	부산광역시
그리스도	deathPlace	예루살렘
대통령	officialLanguage	스페인어
서울특별시	region	경기도
흑성산	address	성거읍
십자가	related	프란치스코
대통령	party	자유한국당
미야자키_현	region	규슈
삼성동_(강남구)	region	성남시
멤버	position	공격수
뇌물죄	isPartOf	신동빈
포츠담_선언	country	일본
수진동	region	경기도
시장	position	오전
대한항공	parentCompany	한진그룹
벨기에	title	하계_올림픽
성인_(종교)	religion	기독교
국유_철도	successor	한국철도시설공단
소바노카미_역	address	미야기_현
영업권	isPartOf	신동빈
장안구	isPartOf	수도권
심장병	country	우크라이나
검단산	locatedInArea	광주시_(경기도)
정자역	owningOrganisation	한국철도공사
피겨_스케이팅_그랑프리_파이널	country	일본
고리치아_가문	isPartOf	리엔츠
발목	party	더불어민주당
서울고등법원	type	대한민국의_대법관
인공지능	type	눈_(해부학)
구미동	isPartOf	복정역
길동	region	강동구
이_(몸)	country	이탈리아
대한민국의_대통령경호실장	type	특사
성남시	region	서울특별시
영업권	isPartOf	회장
도쿄신문	type	학문
좌익_국민주의	country	세르비아
수도권	isPartOf	수원시
세계_박람회	location	영국
리우_회의	location	브라질
폴란드어	populationPlace	시카고
서울종합운동장_야구장	isPartOf	뇌물죄
충청북도	isPartOf	세종오송로
말레이시아	title	세팍타크로
복정역	isPartOf	농협유통
천안시	region	세종특별자치시
남양주시	region	경기도
성수대교	address	압구정동
대한민국_관세청	isPartOf	뇌물죄
김호철	isPartOf	손
숙환	occupation	영화_감독
구미동	isPartOf	장지동
문재인	party	자유한국당
이_(몸)	isPartOf	프리울리
연희단거리패	occupation	배우
멤버	league	K리그_클래식
박근혜	position	대한민국의_대법관
이시노마키_시	isPartOf	소바노카미_역
시민	populationPlace	대한민국
성균관대학교	isPartOf	전기철도
복정역	address	경기도
위례산	address	서북구
소래산	address	시흥시
흑성산	address	서북구
억만장자	knownFor	생명공학기술
피겨_스케이팅_그랑프리_파이널	country	이탈리아
눈_(해부학)	country	미국
성균관대학교	city	수원시
플래시포워드	country	영국
씨네큐브	location	서울특별시
금메달	country	벨기에
입	country	브라질
판교신도시	administrativeDistrict	판교_나들목
대한민국	ethnicGroup	시민
영토권	headquarter	시코쿠
미국	capital	도쿄신문
경기도	part	삼성동_(강남구)
서울_지하철_8호선	spokenIn	신분당선
기독교	residence	성인_(종교)
신도시	administrativeDistrict	분당신도시
경기도	part	남양주시
섬진강	city	하동군
크리스티나	starring	블로우
서울특별시	part	용인시
장지동	region	농협유통
프로_야구	team	에이스
대통령	party	후보
정부	part	강남구
제우스	spouse	세멜레
노무현	party	후보
2018년_동계_올림픽	party	임
교황	capital	콜로세움
신분당선	vicePresident	입
경기도	part	중원구
임시_정부	leaderName	김원봉
러시아	parentCompany	항공기
서울특별시	part	오전
네트	languageFamily	세팍타크로
국민연금	party	대한민국_국회_보건복지위원회
대통령	party	대통령_선거
정_(행정_구역)	starring	영화
노무현	party	대통령_선거
이_(몸)	largestCity	고리치아
금메달	city	샤모니
의원	relative	서정우
캐나다	officialLanguage	리우_회의
김정일	occupation	간부
이지조	nationality	곤여만국전도
김창호_(1962년)	deathPlace	한국인
장세동	occupation	스타
우크라이나	largestCity	심장병
미국	largestCity	눈_(해부학)
김일성	occupation	간부
특별법	party	대표
경상북도	part	매전면
유니언_역_(시카고)	servingRailwayLine	퀸시_역_(암트랙)
일본	country	위안부
스위스	largestCity	유엔_여성_차별_철폐_위원회
프란치스코	location	십자가
수원시	part	성균관대역
세팍타크로	country	등_(식물)
러시아의_대통령	capital	특허
